Country,Year,GDP_rise,Gini,Agg_dem,Agg_sup,Avg CPI,Eco_Equ,Per_cap,mar_cost,inf_rate,int_rate
Senegal,1950,1.6,11.89,1.15,8.55,34.8,258.66,1.6,11.89,1.6,11.89
Zimbabwe,1950,1.25,9.29,1.15,8.55,34.8,258.66,1.25,9.29,1.25,9.29
Guinea,1950,0.7,5.2,1.15,8.55,34.8,258.66,0.7,5.2,1.15,8.55
Rwanda,1950,0,0,1.15,8.55,34.8,258.66,0,0,0,0
Benin,1950,0,0,1.15,8.55,34.8,258.66,0,0,0,0
Burundi,1950,0,0,1.15,8.55,34.8,258.66,0,0,0,0
Tunisia,1950,1,7.43,1.15,8.55,34.8,258.66,1,7.43,1,7.43
Nevada,1950,1.25,9.29,1.15,8.55,34.8,258.66,1.25,9.29,1.25,9.29
Togo,1950,1.4,10.41,1.15,8.55,34.8,258.66,1.4,10.41,1.4,10.41
Libya,1950,1.4,10.41,1.15,8.55,34.8,258.66,1.4,10.41,1.4,10.41
Congo,1950,1.15,8.55,1.15,8.55,34.8,258.66,1.15,8.55,1.4,10.41
Liberia,1950,1.6,11.89,1.15,8.55,34.8,258.66,1.6,11.89,1.6,11.89
Mauritania,1950,1,7.43,1.15,8.55,34.8,258.66,1,7.43,1,7.43
Eritrea,1950,1,7.43,1.15,8.55,34.8,258.66,1,7.43,1.25,9.29
Namibia,1950,0.75,5.57,1.15,8.55,34.8,258.66,0.75,5.57,1.25,9.29
Oklahoma,1950,1,7.43,1.15,8.55,34.8,258.66,1,7.43,1,7.43
Gambia,1950,1.25,9.29,1.15,8.55,34.8,258.66,1.25,9.29,1.25,9.29
Botswana,1950,1.15,8.55,1.15,8.55,34.8,258.66,1.15,8.55,1.15,8.55
Puerto Rico,1950,0.43,3.2,1.15,8.55,34.8,258.66,0.43,3.2,1.6,11.89
Rhode Island,1950,1.4,10.41,1.15,8.55,34.8,258.66,1.4,10.41,1.4,10.41
Gabon,1950,0,0,1.15,8.55,34.8,258.66,0,0,0,0
Lesotho,1950,0.425,3.16,1.15,8.55,34.8,258.66,0.425,3.16,0.5,3.72
Mauritius,1950,0,0,1.15,8.55,34.8,258.66,0,0,0,0
Eswatini,1950,0,0,1.15,8.55,34.8,258.66,0,0,0,0
Djibouti,1950,0,0,1.15,8.55,34.8,258.66,0,0,0,0
Utah,1950,1,7.43,1.15,8.55,34.8,258.66,1,7.43,1.15,8.55
Vermont,1950,1.4,10.41,1.15,8.55,34.8,258.66,1.4,10.41,1.4,10.41
Comoros,1950,0,0,1.15,8.55,34.8,258.66,0,0,0,0
CaboVerde,1950,1.6,11.89,1.15,8.55,34.8,258.66,1.6,11.89,1.6,11.89
Seychelles,1950,1,7.43,1.15,8.55,34.8,258.66,1,7.43,1,7.43
Wisconsin,1950,1.25,9.29,1.15,8.55,34.8,258.66,1.25,9.29,1.25,9.29
Wyoming,1950,1.2,8.92,1.15,8.55,34.8,258.66,1.2,8.92,1.2,8.92
Nigeria,1951,0,0,1.15,8.11,36.7,258.66,0,0,0,0
Ethiopia,1951,2.1,14.8,1.15,8.11,36.7,258.66,2.1,14.8,2.1,14.8
Egypt,1951,0.468,3.3,1.15,8.11,36.7,258.66,0.468,3.3,0.66,4.65
DRcongo,1951,0.15625,1.1,1.15,8.11,36.7,258.66,0.15625,1.1,0.15625,1.1
Tanzania,1951,1.65,11.63,1.15,8.11,36.7,258.66,1.65,11.63,1.65,11.63
SouthAfrica,1951,1,7.05,1.15,8.11,36.7,258.66,1,7.05,1.25,8.81
Kenya,1951,1.4,9.87,1.15,8.11,36.7,258.66,1.4,9.87,1.4,9.87
Uganda,1951,1.25,8.81,1.15,8.11,36.7,258.66,1.25,8.81,1.25,8.81
Algeria,1951,1.25,8.81,1.15,8.11,36.7,258.66,1.25,8.81,1.4,9.87
Sudan,1951,0,0,1.15,8.11,36.7,258.66,0,0,0,0
Morocco,1951,0,0,1.15,8.11,36.7,258.66,0,0,0,0
Angola,1951,1.25,8.81,1.15,8.11,36.7,258.66,1.25,8.81,1.25,8.81
Mozambique,1951,1.25,8.81,1.15,8.11,36.7,258.66,1.25,8.81,1.25,8.81
Ghana,1951,1.15,8.11,1.15,8.11,36.7,258.66,1.15,8.11,1.15,8.11
Madagascar,1951,0,0,1.15,8.11,36.7,258.66,0,0,0,0
Cameron,1951,1.15,8.11,1.15,8.11,36.7,258.66,1.15,8.11,1.15,8.11
cotetrichy,1951,0,0,1.15,8.11,36.7,258.66,0,0,0,0
Niger,1951,0,0,1.15,8.11,36.7,258.66,0,0,0,0
BurkinaFaso,1951,0.65,4.58,1.15,8.11,36.7,258.66,0.65,4.58,0.75,5.29
mali,1951,0,0,1.15,8.11,36.7,258.66,0,0,0,0
malawi,1951,1.4,9.87,1.15,8.11,36.7,258.66,1.4,9.87,1.4,9.87
Zambia,1951,1,7.05,1.15,8.11,36.7,258.66,1,7.05,1.15,8.11
Senegal,1951,1.6,11.28,1.15,8.11,36.7,258.66,1.6,11.28,1.6,11.28
Zimbabwe,1951,1.25,8.81,1.15,8.11,36.7,258.66,1.25,8.81,1.25,8.81
Guinea,1951,0.7,4.93,1.15,8.11,36.7,258.66,0.7,4.93,1.15,8.11
Rwanda,1951,0,0,1.15,8.11,36.7,258.66,0,0,0,0
Benin,1951,0,0,1.15,8.11,36.7,258.66,0,0,0,0
Burundi,1951,0,0,1.15,8.11,36.7,258.66,0,0,0,0
Tunisia,1951,1,7.05,1.15,8.11,36.7,258.66,1,7.05,1,7.05
Nevada,1951,1.25,8.81,1.15,8.11,36.7,258.66,1.25,8.81,1.25,8.81
Togo,1951,1.4,9.87,1.15,8.11,36.7,258.66,1.4,9.87,1.4,9.87
Libya,1951,1.4,9.87,1.15,8.11,36.7,258.66,1.4,9.87,1.4,9.87
Congo,1951,1.15,8.11,1.15,8.11,36.7,258.66,1.15,8.11,1.4,9.87
Liberia,1951,1.6,11.28,1.15,8.11,36.7,258.66,1.6,11.28,1.6,11.28
Mauritania,1951,1,7.05,1.15,8.11,36.7,258.66,1,7.05,1,7.05
Eritrea,1951,1,7.05,1.15,8.11,36.7,258.66,1,7.05,1.25,8.81
Namibia,1951,0.75,5.29,1.15,8.11,36.7,258.66,0.75,5.29,1.25,8.81
Oklahoma,1951,1,7.05,1.15,8.11,36.7,258.66,1,7.05,1,7.05
Gambia,1951,1.25,8.81,1.15,8.11,36.7,258.66,1.25,8.81,1.25,8.81
Botswana,1951,1.15,8.11,1.15,8.11,36.7,258.66,1.15,8.11,1.15,8.11
Puerto Rico,1951,0.43,3.03,1.15,8.11,36.7,258.66,0.43,3.03,1.6,11.28
Rhode Island,1951,1.4,9.87,1.15,8.11,36.7,258.66,1.4,9.87,1.4,9.87
Gabon,1951,0,0,1.15,8.11,36.7,258.66,0,0,0,0
Lesotho,1951,0.425,3,1.15,8.11,36.7,258.66,0.425,3,0.5,3.52
Mauritius,1951,0,0,1.15,8.11,36.7,258.66,0,0,0,0
Eswatini,1951,0,0,1.15,8.11,36.7,258.66,0,0,0,0
Djibouti,1951,0,0,1.15,8.11,36.7,258.66,0,0,0,0
Utah,1951,1,7.05,1.15,8.11,36.7,258.66,1,7.05,1.15,8.11
Vermont,1951,1.4,9.87,1.15,8.11,36.7,258.66,1.4,9.87,1.4,9.87
Comoros,1951,0,0,1.15,8.11,36.7,258.66,0,0,0,0
CaboVerde,1951,1.6,11.28,1.15,8.11,36.7,258.66,1.6,11.28,1.6,11.28
Seychelles,1951,1,7.05,1.15,8.11,36.7,258.66,1,7.05,1,7.05
Wisconsin,1951,1.25,8.81,1.15,8.11,36.7,258.66,1.25,8.81,1.25,8.81
Wyoming,1951,1.2,8.46,1.15,8.11,36.7,258.66,1.2,8.46,1.2,8.46
Nigeria,1952,0,0,1.3,8.67,38.8,258.66,0,0,0,0
Ethiopia,1952,2.1,14,1.3,8.67,38.8,258.66,2.1,14,2.1,14
Egypt,1952,0.468,3.12,1.3,8.67,38.8,258.66,0.468,3.12,0.66,4.4
DRcongo,1952,1.1,7.33,1.3,8.67,38.8,258.66,1.1,7.33,1.1,7.33
Tanzania,1952,1.65,11,1.3,8.67,38.8,258.66,1.65,11,1.65,11
SouthAfrica,1952,1,6.67,1.3,8.67,38.8,258.66,1,6.67,1.25,8.33
Kenya,1952,1.6,10.67,1.3,8.67,38.8,258.66,1.6,10.67,1.6,10.67
Uganda,1952,1.25,8.33,1.3,8.67,38.8,258.66,1.25,8.33,1.25,8.33
Algeria,1952,1.6,10.67,1.3,8.67,38.8,258.66,1.6,10.67,2,13.33
Sudan,1952,0,0,1.3,8.67,38.8,258.66,0,0,0,0
Morocco,1952,0,0,1.3,8.67,38.8,258.66,0,0,0,0
Angola,1952,1.6,10.67,1.3,8.67,38.8,258.66,1.6,10.67,1.6,10.67
Mozambique,1952,1.6,10.67,1.3,8.67,38.8,258.66,1.6,10.67,1.6,10.67
Ghana,1952,1.25,8.33,1.3,8.67,38.8,258.66,1.25,8.33,1.25,8.33
Madagascar,1952,0,0,1.3,8.67,38.8,258.66,0,0,0,0
Cameron,1952,1.25,8.33,1.3,8.67,38.8,258.66,1.25,8.33,1.25,8.33
cotetrichy,1952,0,0,1.3,8.67,38.8,258.66,0,0,0,0
Niger,1952,0,0,1.3,8.67,38.8,258.66,0,0,0,0
BurkinaFaso,1952,0.65,4.33,1.3,8.67,38.8,258.66,0.65,4.33,0.75,5
mali,1952,0,0,1.3,8.67,38.8,258.66,0,0,0,0
malawi,1952,1.6,10.67,1.3,8.67,38.8,258.66,1.6,10.67,1.6,10.67
Zambia,1952,1.3,8.67,1.3,8.67,38.8,258.66,1.3,8.67,1.3,8.67
Senegal,1952,1.6,10.67,1.3,8.67,38.8,258.66,1.6,10.67,1.6,10.67
Zimbabwe,1952,1.25,8.33,1.3,8.67,38.8,258.66,1.25,8.33,1.25,8.33
Guinea,1952,0.7,4.67,1.3,8.67,38.8,258.66,0.7,4.67,1.15,7.67
Rwanda,1952,0,0,1.3,8.67,38.8,258.66,0,0,0,0
Benin,1952,0,0,1.3,8.67,38.8,258.66,0,0,0,0
Burundi,1952,0,0,1.3,8.67,38.8,258.66,0,0,0,0
Tunisia,1952,1,6.67,1.3,8.67,38.8,258.66,1,6.67,1,6.67
Nevada,1952,1.3,8.67,1.3,8.67,38.8,258.66,1.3,8.67,1.3,8.67
Togo,1952,1.45,9.67,1.3,8.67,38.8,258.66,1.45,9.67,1.6,10.67
Libya,1952,1.5,10,1.3,8.67,38.8,258.66,1.5,10,1.5,10
Congo,1952,1.3,8.67,1.3,8.67,38.8,258.66,1.3,8.67,1.6,10.67
Liberia,1952,1.6,10.67,1.3,8.67,38.8,258.66,1.6,10.67,1.6,10.67
Mauritania,1952,1.25,8.33,1.3,8.67,38.8,258.66,1.25,8.33,1.25,8.33
Eritrea,1952,1,6.67,1.3,8.67,38.8,258.66,1,6.67,1.45,9.67
Namibia,1952,0.75,5,1.3,8.67,38.8,258.66,0.75,5,1.25,8.33
Oklahoma,1952,1,6.67,1.3,8.67,38.8,258.66,1,6.67,1,6.67
Gambia,1952,1.25,8.33,1.3,8.67,38.8,258.66,1.25,8.33,1.25,8.33
Botswana,1952,1.3,8.67,1.3,8.67,38.8,258.66,1.3,8.67,1.3,8.67
Puerto Rico,1952,0.43,2.87,1.3,8.67,38.8,258.66,0.43,2.87,1.6,10.67
Rhode Island,1952,1.6,10.67,1.3,8.67,38.8,258.66,1.6,10.67,1.6,10.67
Gabon,1952,0,0,1.3,8.67,38.8,258.66,0,0,0,0
Lesotho,1952,1,6.67,1.3,8.67,38.8,258.66,1,6.67,1,6.67
Mauritius,1952,0,0,1.3,8.67,38.8,258.66,0,0,0,0
Eswatini,1952,0,0,1.3,8.67,38.8,258.66,0,0,0,0
Djibouti,1952,0,0,1.3,8.67,38.8,258.66,0,0,0,0
Utah,1952,1,6.67,1.3,8.67,38.8,258.66,1,6.67,1.15,7.67
Vermont,1952,1.6,10.67,1.3,8.67,38.8,258.66,1.6,10.67,1.6,10.67
Comoros,1952,0,0,1.3,8.67,38.8,258.66,0,0,0,0
CaboVerde,1952,1.6,10.67,1.3,8.67,38.8,258.66,1.6,10.67,1.6,10.67
Seychelles,1952,1,6.67,1.3,8.67,38.8,258.66,1,6.67,1,6.67
Wisconsin,1952,1.3,8.67,1.3,8.67,38.8,258.66,1.3,8.67,1.3,8.67
Wyoming,1952,1.3,8.67,1.3,8.67,38.8,258.66,1.3,8.67,1.3,8.67
Nigeria,1953,0,0,1.3,8.3,40.5,258.66,0,0,0,0
Ethiopia,1953,2.1,13.41,1.3,8.3,40.5,258.66,2.1,13.41,2.1,13.41
Egypt,1953,0.468,2.99,1.3,8.3,40.5,258.66,0.468,2.99,0.66,4.22
DRcongo,1953,1.1,7.03,1.3,8.3,40.5,258.66,1.1,7.03,1.1,7.03
Tanzania,1953,1.65,10.54,1.3,8.3,40.5,258.66,1.65,10.54,1.65,10.54
SouthAfrica,1953,1,6.39,1.3,8.3,40.5,258.66,1,6.39,1.25,7.98
Kenya,1953,1.6,10.22,1.3,8.3,40.5,258.66,1.6,10.22,1.6,10.22
Uganda,1953,1.25,7.98,1.3,8.3,40.5,258.66,1.25,7.98,1.25,7.98
Algeria,1953,1.6,10.22,1.3,8.3,40.5,258.66,1.6,10.22,2,12.77
Sudan,1953,0,0,1.3,8.3,40.5,258.66,0,0,0,0
Morocco,1953,0,0,1.3,8.3,40.5,258.66,0,0,0,0
Angola,1953,1.6,10.22,1.3,8.3,40.5,258.66,1.6,10.22,1.6,10.22
Mozambique,1953,1.6,10.22,1.3,8.3,40.5,258.66,1.6,10.22,1.6,10.22
Ghana,1953,1.25,7.98,1.3,8.3,40.5,258.66,1.25,7.98,1.25,7.98
Madagascar,1953,0,0,1.3,8.3,40.5,258.66,0,0,0,0
Cameron,1953,1.25,7.98,1.3,8.3,40.5,258.66,1.25,7.98,1.25,7.98
cotetrichy,1953,0,0,1.3,8.3,40.5,258.66,0,0,0,0
Niger,1953,0,0,1.3,8.3,40.5,258.66,0,0,0,0
BurkinaFaso,1953,0.65,4.15,1.3,8.3,40.5,258.66,0.65,4.15,0.75,4.79
mali,1953,0,0,1.3,8.3,40.5,258.66,0,0,0,0
malawi,1953,1.6,10.22,1.3,8.3,40.5,258.66,1.6,10.22,1.6,10.22
Zambia,1953,1.3,8.3,1.3,8.3,40.5,258.66,1.3,8.3,1.3,8.3
Senegal,1953,1.6,10.22,1.3,8.3,40.5,258.66,1.6,10.22,1.6,10.22
Zimbabwe,1953,1.25,7.98,1.3,8.3,40.5,258.66,1.25,7.98,1.25,7.98
Guinea,1953,0.7,4.47,1.3,8.3,40.5,258.66,0.7,4.47,1.15,7.34
Rwanda,1953,0,0,1.3,8.3,40.5,258.66,0,0,0,0
Benin,1953,0,0,1.3,8.3,40.5,258.66,0,0,0,0
Burundi,1953,0,0,1.3,8.3,40.5,258.66,0,0,0,0
Tunisia,1953,1,6.39,1.3,8.3,40.5,258.66,1,6.39,1,6.39
Nevada,1953,1.3,8.3,1.3,8.3,40.5,258.66,1.3,8.3,1.3,8.3
Togo,1953,1.45,9.26,1.3,8.3,40.5,258.66,1.45,9.26,1.6,10.22
Libya,1953,1.5,9.58,1.3,8.3,40.5,258.66,1.5,9.58,1.5,9.58
Congo,1953,1.3,8.3,1.3,8.3,40.5,258.66,1.3,8.3,1.6,10.22
Liberia,1953,1.6,10.22,1.3,8.3,40.5,258.66,1.6,10.22,1.6,10.22
Mauritania,1953,1.25,7.98,1.3,8.3,40.5,258.66,1.25,7.98,1.25,7.98
Eritrea,1953,1,6.39,1.3,8.3,40.5,258.66,1,6.39,1.45,9.26
Namibia,1953,0.75,4.79,1.3,8.3,40.5,258.66,0.75,4.79,1.25,7.98
Oklahoma,1953,1,6.39,1.3,8.3,40.5,258.66,1,6.39,1,6.39
Gambia,1953,1.25,7.98,1.3,8.3,40.5,258.66,1.25,7.98,1.25,7.98
Botswana,1953,1.3,8.3,1.3,8.3,40.5,258.66,1.3,8.3,1.3,8.3
Puerto Rico,1953,0.43,2.75,1.3,8.3,40.5,258.66,0.43,2.75,1.6,10.22
Rhode Island,1953,1.6,10.22,1.3,8.3,40.5,258.66,1.6,10.22,1.6,10.22
Gabon,1953,0,0,1.3,8.3,40.5,258.66,0,0,0,0
Lesotho,1953,1,6.39,1.3,8.3,40.5,258.66,1,6.39,1,6.39
Mauritius,1953,0,0,1.3,8.3,40.5,258.66,0,0,0,0
Eswatini,1953,0,0,1.3,8.3,40.5,258.66,0,0,0,0
Djibouti,1953,0,0,1.3,8.3,40.5,258.66,0,0,0,0
Utah,1953,1,6.39,1.3,8.3,40.5,258.66,1,6.39,1.15,7.34
Vermont,1953,1.6,10.22,1.3,8.3,40.5,258.66,1.6,10.22,1.6,10.22
Comoros,1953,0,0,1.3,8.3,40.5,258.66,0,0,0,0
CaboVerde,1953,1.6,10.22,1.3,8.3,40.5,258.66,1.6,10.22,1.6,10.22
Seychelles,1953,1,6.39,1.3,8.3,40.5,258.66,1,6.39,1,6.39
Wisconsin,1953,1.3,8.3,1.3,8.3,40.5,258.66,1.3,8.3,1.3,8.3
Wyoming,1953,1.3,8.3,1.3,8.3,40.5,258.66,1.3,8.3,1.3,8.3
Nigeria,1954,0,0,1.6,9.9,41.8,258.66,0,0,0,0
Ethiopia,1954,2.1,12.99,1.6,9.9,41.8,258.66,2.1,12.99,2.1,12.99
Egypt,1954,0.468,2.9,1.6,9.9,41.8,258.66,0.468,2.9,0.66,4.08
DRcongo,1954,1.2,7.43,1.6,9.9,41.8,258.66,1.2,7.43,1.2,7.43
Tanzania,1954,1.65,10.21,1.6,9.9,41.8,258.66,1.65,10.21,1.65,10.21
SouthAfrica,1954,1,6.19,1.6,9.9,41.8,258.66,1,6.19,1.25,7.74
Kenya,1954,1.85,11.45,1.6,9.9,41.8,258.66,1.85,11.45,1.85,11.45
Uganda,1954,1.6,9.9,1.6,9.9,41.8,258.66,1.6,9.9,1.6,9.9
Algeria,1954,1.6,9.9,1.6,9.9,41.8,258.66,1.6,9.9,2.25,13.92
Sudan,1954,0,0,1.6,9.9,41.8,258.66,0,0,0,0
Morocco,1954,1.25,7.74,1.6,9.9,41.8,258.66,1.25,7.74,1.25,7.74
Angola,1954,1.9,11.76,1.6,9.9,41.8,258.66,1.9,11.76,1.9,11.76
Mozambique,1954,1.6,9.9,1.6,9.9,41.8,258.66,1.6,9.9,1.6,9.9
Ghana,1954,1.4,8.66,1.6,9.9,41.8,258.66,1.4,8.66,1.4,8.66
Madagascar,1954,1.4,8.66,1.6,9.9,41.8,258.66,1.4,8.66,1.4,8.66
Cameron,1954,1.25,7.74,1.6,9.9,41.8,258.66,1.25,7.74,1.25,7.74
cotetrichy,1954,0,0,1.6,9.9,41.8,258.66,0,0,0,0
Niger,1954,0,0,1.6,9.9,41.8,258.66,0,0,0,0
BurkinaFaso,1954,0.65,4.02,1.6,9.9,41.8,258.66,0.65,4.02,0.75,4.64
mali,1954,0,0,1.6,9.9,41.8,258.66,0,0,0,0
malawi,1954,1.4,8.66,1.6,9.9,41.8,258.66,1.4,8.66,1.8,11.14
Zambia,1954,1.6,9.9,1.6,9.9,41.8,258.66,1.6,9.9,1.6,9.9
Senegal,1954,1.75,10.83,1.6,9.9,41.8,258.66,1.75,10.83,1.75,10.83
Zimbabwe,1954,1.6,9.9,1.6,9.9,41.8,258.66,1.6,9.9,1.6,9.9
Guinea,1954,0.75,4.64,1.6,9.9,41.8,258.66,0.75,4.64,1.6,9.9
Rwanda,1954,0,0,1.6,9.9,41.8,258.66,0,0,0,0
Benin,1954,0,0,1.6,9.9,41.8,258.66,0,0,0,0
Burundi,1954,1.6,9.9,1.6,9.9,41.8,258.66,1.6,9.9,1.6,9.9
Tunisia,1954,1,6.19,1.6,9.9,41.8,258.66,1,6.19,1,6.19
Nevada,1954,1.6,9.9,1.6,9.9,41.8,258.66,1.6,9.9,1.6,9.9
Togo,1954,1.6,9.9,1.6,9.9,41.8,258.66,1.6,9.9,1.6,9.9
Libya,1954,1.5,9.28,1.6,9.9,41.8,258.66,1.5,9.28,1.5,9.28
Congo,1954,1.3,8.04,1.6,9.9,41.8,258.66,1.3,8.04,1.6,9.9
Liberia,1954,1.85,11.45,1.6,9.9,41.8,258.66,1.85,11.45,1.85,11.45
Mauritania,1954,1.45,8.97,1.6,9.9,41.8,258.66,1.45,8.97,1.45,8.97
Eritrea,1954,1,6.19,1.6,9.9,41.8,258.66,1,6.19,1.45,8.97
Namibia,1954,0.75,4.64,1.6,9.9,41.8,258.66,0.75,4.64,1.25,7.74
Oklahoma,1954,1.4,8.66,1.6,9.9,41.8,258.66,1.4,8.66,1.4,8.66
Gambia,1954,1.25,7.74,1.6,9.9,41.8,258.66,1.25,7.74,1.25,7.74
Botswana,1954,1.6,9.9,1.6,9.9,41.8,258.66,1.6,9.9,1.6,9.9
Puerto Rico,1954,0.65,4.02,1.6,9.9,41.8,258.66,0.65,4.02,1.6,9.9
Rhode Island,1954,1.6,9.9,1.6,9.9,41.8,258.66,1.6,9.9,1.6,9.9
Gabon,1954,0,0,1.6,9.9,41.8,258.66,0,0,0,0
Lesotho,1954,1,6.19,1.6,9.9,41.8,258.66,1,6.19,1,6.19
Mauritius,1954,0,0,1.6,9.9,41.8,258.66,0,0,0,0
Eswatini,1954,1.4,8.66,1.6,9.9,41.8,258.66,1.4,8.66,1.4,8.66
Djibouti,1954,0,0,1.6,9.9,41.8,258.66,0,0,0,0
Utah,1954,1.2,7.43,1.6,9.9,41.8,258.66,1.2,7.43,1.35,8.35
Vermont,1954,1.6,9.9,1.6,9.9,41.8,258.66,1.6,9.9,1.6,9.9
Comoros,1954,0,0,1.6,9.9,41.8,258.66,0,0,0,0
CaboVerde,1954,1.6,9.9,1.6,9.9,41.8,258.66,1.6,9.9,1.6,9.9
Seychelles,1954,1.2,7.43,1.6,9.9,41.8,258.66,1.2,7.43,1.2,7.43
Wisconsin,1954,1.45,8.97,1.6,9.9,41.8,258.66,1.45,8.97,1.45,8.97
Wyoming,1954,1.5,9.28,1.6,9.9,41.8,258.66,1.5,9.28,1.5,9.28
Nigeria,1955,0,0,1.6,9.32,44.4,258.66,0,0,0,0
Ethiopia,1955,2.1,12.23,1.6,9.32,44.4,258.66,2.1,12.23,2.1,12.23
Egypt,1955,0.468,2.73,1.6,9.32,44.4,258.66,0.468,2.73,0.66,3.84
DRcongo,1955,1.2,6.99,1.6,9.32,44.4,258.66,1.2,6.99,1.2,6.99
Tanzania,1955,1.65,9.61,1.6,9.32,44.4,258.66,1.65,9.61,1.65,9.61
SouthAfrica,1955,1,5.83,1.6,9.32,44.4,258.66,1,5.83,1.25,7.28
Kenya,1955,1.85,10.78,1.6,9.32,44.4,258.66,1.85,10.78,1.85,10.78
Uganda,1955,1.6,9.32,1.6,9.32,44.4,258.66,1.6,9.32,1.6,9.32
Algeria,1955,1.6,9.32,1.6,9.32,44.4,258.66,1.6,9.32,2.25,13.11
Sudan,1955,0,0,1.6,9.32,44.4,258.66,0,0,0,0
Morocco,1955,1.25,7.28,1.6,9.32,44.4,258.66,1.25,7.28,1.25,7.28
Angola,1955,1.9,11.07,1.6,9.32,44.4,258.66,1.9,11.07,1.9,11.07
Mozambique,1955,1.6,9.32,1.6,9.32,44.4,258.66,1.6,9.32,1.6,9.32
Ghana,1955,1.4,8.16,1.6,9.32,44.4,258.66,1.4,8.16,1.4,8.16
Madagascar,1955,1.4,8.16,1.6,9.32,44.4,258.66,1.4,8.16,1.4,8.16
Cameron,1955,1.25,7.28,1.6,9.32,44.4,258.66,1.25,7.28,1.25,7.28
cotetrichy,1955,0,0,1.6,9.32,44.4,258.66,0,0,0,0
Niger,1955,0,0,1.6,9.32,44.4,258.66,0,0,0,0
BurkinaFaso,1955,0.65,3.79,1.6,9.32,44.4,258.66,0.65,3.79,0.75,4.37
mali,1955,0,0,1.6,9.32,44.4,258.66,0,0,0,0
malawi,1955,1.4,8.16,1.6,9.32,44.4,258.66,1.4,8.16,1.8,10.49
Zambia,1955,1.6,9.32,1.6,9.32,44.4,258.66,1.6,9.32,1.6,9.32
Senegal,1955,1.75,10.19,1.6,9.32,44.4,258.66,1.75,10.19,1.75,10.19
Zimbabwe,1955,1.6,9.32,1.6,9.32,44.4,258.66,1.6,9.32,1.6,9.32
Guinea,1955,0.75,4.37,1.6,9.32,44.4,258.66,0.75,4.37,1.6,9.32
Rwanda,1955,0,0,1.6,9.32,44.4,258.66,0,0,0,0
Benin,1955,0,0,1.6,9.32,44.4,258.66,0,0,0,0
Burundi,1955,1.6,9.32,1.6,9.32,44.4,258.66,1.6,9.32,1.6,9.32
Tunisia,1955,1,5.83,1.6,9.32,44.4,258.66,1,5.83,1,5.83
Nevada,1955,1.6,9.32,1.6,9.32,44.4,258.66,1.6,9.32,1.6,9.32
Togo,1955,1.6,9.32,1.6,9.32,44.4,258.66,1.6,9.32,1.6,9.32
Libya,1955,1.5,8.74,1.6,9.32,44.4,258.66,1.5,8.74,1.5,8.74
Congo,1955,1.3,7.57,1.6,9.32,44.4,258.66,1.3,7.57,1.6,9.32
Liberia,1955,1.85,10.78,1.6,9.32,44.4,258.66,1.85,10.78,1.85,10.78
Mauritania,1955,1.45,8.45,1.6,9.32,44.4,258.66,1.45,8.45,1.45,8.45
Eritrea,1955,1,5.83,1.6,9.32,44.4,258.66,1,5.83,1.45,8.45
Namibia,1955,0.75,4.37,1.6,9.32,44.4,258.66,0.75,4.37,1.25,7.28
Oklahoma,1955,1.4,8.16,1.6,9.32,44.4,258.66,1.4,8.16,1.4,8.16
Gambia,1955,1.25,7.28,1.6,9.32,44.4,258.66,1.25,7.28,1.25,7.28
